"10";"749781";"Camisa Bahia Oficial I 2017-18 Masculina - Umbro";"0.0000"
"11";"749781P";"Camisa Bahia Oficial I 2017-18 Masculina - Umbro - P";"0.0000"
"12";"749781M";"Camisa Bahia Oficial I 2017-18 Masculina - Umbro - M";"0.0000"
"13";"749781G";"Camisa Bahia Oficial I 2017-18 Masculina - Umbro - G";"0.0000"
"14";"749781GG";"Camisa Bahia Oficial I 2017-18 Masculina - Umbro - GG";"0.0000"
"15";"773465";"Camisa Cruzeiro Aquecimento Masculina 2018-19 - Umbro ";"0.0000"
"16";"773465P";"Camisa Cruzeiro Aquecimento Masculina 2018-19 - Umbro - P";"0.0000"
"17";"773465M";"Camisa Cruzeiro Aquecimento Masculina 2018-19 - Umbro - M";"2.0000"
"18";"773465G";"Camisa Cruzeiro Aquecimento Masculina 2018-19 - Umbro - G";"2.0000"
"19";"773465GG";"Camisa Cruzeiro Aquecimento Masculina 2018-19 - Umbro - GG";"1.0000"
"20";"773547";"Camisa Cruzeiro Treino 2018 - 19 - Umbro - Masculina";"0.0000"
"21";"773547P";"Camisa Cruzeiro Treino 2018-19 - Umbro - Masculina - P";"1.0000"
"22";"773547M";"Camisa Cruzeiro Treino 2018-19 - Umbro - Masculina - M";"2.0000"
"23";"773547G";"Camisa Cruzeiro Treino 2018-19 - Umbro - Masculina - G";"2.0000"
"24";"773547GG";"Camisa Cruzeiro Treino 2018-19 - Umbro - Masculina - GG";"0.0000"
"25";"777194";"Camisa Athlético PR Treino Masculina 2018-19 - Umbro - Preto/Coral";"0.0000"
"26";"777194M";"Camisa Athletico Paranaense Treino Masculina 2018-19 - Umbro Masculina - Preto/Coral - M";"-1.0000"
"27";"777194G";"Camisa Athletico Paranaense Treino 2018-19 - Umbro Masculina - Preto-Coral - G";"0.0000"
"28";"716833";"Camisa Athlético-PR Umbro Away Torcedor SN 2017 ";"0.0000"
"29";"716833M";"Camisa Athlético-PR Umbro Away Torcedor SN 2017 - M";"0.0000"
"30";"716833P";"Camisa Athlético-PR Umbro Away Torcedor SN 2017 - P";"0.0000"
"32";"737664G";"Camisa Pólo Umbro Masculina Twr Tractore - G";"1.0000"
"33";"737664GG";"Camisa Pólo Umbro Masculina Twr Tractore - GG";"1.0000"
"35";"737663G";"Camisa Pólo Umbro Masculina Twr Tractore - Preto - G";"2.0000"
"36";"737663GG";"Camisa Pólo Umbro Masculina Twr Tractore - Preto - GG";"2.0000"
"37";"060439";"Camisa Náutico Pré Jogo NSeis 2019-20 Masculina";"0.0000"
"38";"060439P";"Camisa Náutico Pré Jogo NSeis 2019-20 Masculina - P";"0.0000"
"39";"060439G";"Camisa Náutico Pré Jogo NSeis 2019-20 Masculina - G";"0.0000"
"40";"060439GG";"Camisa Náutico Pré Jogo NSeis 2019-20 Masculina - GG";"0.0000"
"41";"060251";"Camisa Náutico - Of 1 - NSeis 2019-20 Masculina";"0.0000"
"42";"060251P";"Camisa Náutico - Of 1 - NSeis 2019-20 Masculina P";"0.0000"
