sku;_store;_attribute_set;_type;_category;_root_category;_product_websites;capacidade;color;cost;country_of_manufacture;created_at;custom_design;custom_design_from;custom_design_to;custom_layout_update;descricaogoogleshopping;description;em_deal;em_featured;em_hot;export_pluggto;faixa_etaria;fit_size;gallery;genero;gift_message_available;googleshopping_category;googleshopping_condition;googleshopping_exclude;has_options;hover;image;image_label;manufacturer;marca;material;media_gallery;meta_description;meta_keyword;meta_title;minimal_price;msrp;msrp_display_actual_price_type;msrp_enabled;name;ncm;news_from_date;news_to_date;options_container;page_layout;posting_days;postmethods;price;required_options;seller_id;short_description;small_image;small_image_label;special_from_date;special_price;special_to_date;status;tamanho;tax_class_id;thumbnail;thumbnail_label;updated_at;url_key;url_path;visibility;volume_altura;volume_comprimento;volume_largura;weight;qty;min_qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;min_sale_qty;use_config_min_sale_qty;max_sale_qty;use_config_max_sale_qty;is_in_stock;notify_stock_qty;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;_links_related_sku;_links_related_position;_links_crosssell_sku;_links_crosssell_position;_links_upsell_sku;_links_upsell_position;_associated_sku;_associated_default_qty;_associated_position;_tier_price_website;_tier_price_customer_group;_tier_price_qty;_tier_price_price;_group_price_website;_group_price_customer_group;_group_price_price;_media_attribute_id;_media_image;_media_lable;_media_position;_media_is_disabled;_super_products_sku;_super_attribute_code;_super_attribute_option;_super_attribute_price_corr
333;;grupo-de-atributos-tipo-um;simple;;Todas as categorias;base;;;;;2016-07-01 20:48:58;;;;;;<p>descrição completa do produto 3<br/>com o texto desejado</p>;;;;Sim;;;;;;;;;0;;;;;;;;;;;;;;;Produto 3;;;;Info Coluna de Produto;;;;0.5000;0;;<p>descrição rápida do produto 3<br/>com o texto desejado</p>;;;;;;;;;;;2016-07-01 21:04:42;produto-3;produto-3;1;;;;0.0400;999.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1205;;1;0;1;0;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
111;;grupo-de-atributos-tipo-um;simple;;Todas as categorias;base;;;;;2016-07-01 21:04:41;;;;;;<p>descrição completa do produto 1<br/>com o texto desejado</p>;;;;Sim;;;;;;;;;0;;;;;;;;;;;;;;;Produto 1;;;;Info Coluna de Produto;;;;10.0000;0;;<p>descrição rápida do produto 1<br/>com o texto desejado</p>;;;;;;;;;;;2016-07-01 21:04:41;produto-1;produto-1;1;;;;0.1500;10.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
222;;grupo-de-atributos-tipo-um;simple;;Todas as categorias;base;;;;;2016-07-01 21:04:41;;;;;;<p>descrição completa do produto 2<br/>com o texto desejado</p><div><span>HTML é permitido</span></div>;;;;Sim;;;;;;;;;0;;;;;;;;;;;;;;;Produto 2;;;;Info Coluna de Produto;;;;12.5000;0;;<p>descrição rápida do produto 2<br/>com o texto desejado</p>;;;;;;;;;;;2016-07-01 21:04:41;produto-2;produto-2;1;;;;1.2600;0.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;0;;1;0;1;1;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
444;;grupo-de-atributos-tipo-um;simple;;Todas as categorias;base;;;;;2016-07-01 21:04:42;;;;;;<p>descrição completa do produto 4<br/>com o texto desejado</p>;;;;Sim;;;;;;;;;0;;;;;;;;;;;;;;;Produto 4;;;;Info Coluna de Produto;;;;145.9000;0;;<p>descrição rápida do produto 4<br/>com o texto desejado</p><div><span>HTML é permitido</span></div>;;;;;;;;;;;2016-07-01 21:04:42;produto-4;produto-4;1;;;;2.5000;10.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
teste-configuravel-v10;;Tamanhos e cores diferentes;configurable;;;base;;;;;2017-05-15 17:38:32;;;;;;<p>Bota modelo coturno masculina produzida em couro natural, com cadar&ccedil;;;;Sim;;;;;;;;;1;;;;;;;;;;;;;;;Teste produto configurável;;;;Info Coluna de Produto;;;;0.5000;0;;;;;;;;;;;;;2017-05-15 17:39:16;teste-produto-configuravel;teste-produto-configuravel;4;;;;;0.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;0;0;1;0.0000;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
1472;;Default;simple;Alimentação/Acessórios para Alimentação;Todas as categorias;base;;Branco;;;2018-10-22 16:50:03;;;;;Protetor de Mamilo da Neopan foi desenvolvido para permitir uma amamentação sem dores causadas pelas rachaduras, fissuras e sangramento dos mamilos, ou mesmo quando surgem os primeiros dentinhos do bebê. Feito em silicone e livre de BPA.;"<p><span>Protetor de Mamilo da Neopan foi desenvolvido para permitir uma amamenta&ccedil;&atilde;o sem dores causadas pelas rachaduras, fissuras e sangramento dos mamilos, ou mesmo quando surgem os primeiros dentinhos do beb&ecirc;. Feito em silicone e livre de BPA.</span></p>";0;0;0;Sim;Sem Faixa Etária;;;Unissex;;;;Não;0;;/p/r/protetor-de-mamilo_1.jpg;;;NEOPAN;Silicone;;Compre agora o seu Protetor de Mamilo na Colorear Infantil com as melhores condições de pagamento. Parcelas de até 3x sem juros nos cartões.;;Protetor de Mamilo – NEOPAN – Colorear Infantil;;;Utilizar configuração;Utilizar configuração;Protetor de Mamilo - NEOPAN;7896036514726;;;Info Coluna de Produto;;;;16.9000;0;;"<p>Protetor de Mamilo para permitir uma amamenta&ccedil;&atilde;o sem dores. Feito em silicone e livre de BPA.</p>";/p/r/protetor-de-mamilo.jpg;;2019-03-08 00:00:00;11.9000;;1;Único;0;/p/r/protetor-de-mamilo-de-longe.jpg;;2019-05-29 18:37:51;protetor-de-mamilo;protetor-de-mamilo;4;3;15;9;0.1000;12.0000;0.0000;1;0;0;1;1.0000;1;0.0000;1;1;;1;0;1;0;1;0.0000;1;0;0;BB190;0;BB190;0;;;;;;;;;;;;;88;/p/r/protetor-de-mamilo-de-longe.jpg;;3;0;;;;
;;;;Saúde/Bem Estar/Amamentação;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB187;0;BB187;0;;;;;;;;;;;;;88;/p/r/protetor-de-mamilo.jpg;;2;0;;;;
;;;;Promoções;Todas as categorias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5418;0;;;;;;;;;;;;;;;88;/p/r/protetor-de-mamilo-embalagem.jpg;;4;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BB012;0;;;;;;;;;;;;;;;88;/p/r/protetor-de-mamilo_1.jpg;;1;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PA7327-1N;0;;;;;;;;;;;;;;;;;;;;;;;
