id	title	description	link	image_link	brand	condition	availability	price	short_description	product_type	google_product_category	gender
673	Blusa Manga Princess Malha Laise	Blusa manga princess malha laise decote V  - Decote V- Malha Laise- Manga estilo princesa	https://www.camellia.com.br/blusa-manga-princess-malha-laise	https://www.camellia.com.br/media/catalog/product/b/l/blusa-manga-princess-malha-laise-2.jpg	Camellia	new	in stock	159,80 BRL	Blusa manga princess malha laise decote V  - Decote V- Malha Laise- Manga estilo princesa	Todas as categorias > Para Elas > Camisas | Todas as categorias > Novidades > T-shirts | Todas as categorias > Para Elas > Camisas > Camisetas/T-shirts | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
677	Camiseta Linho IT	Camiseta em linho decote V  - Decote em V- Linho	https://www.camellia.com.br/camiseta-linho-it-677	https://www.camellia.com.br/media/catalog/product/c/a/camiseta-linho-it.jpg	Camellia	new	in stock	199,80 BRL	Camiseta em linho decote V  - Decote em V- Linho	Todas as categorias > Para Elas > Camisas | Todas as categorias > Para Elas > Blusas | Todas as categorias > Para Elas > Camisas > Camisetas/T-shirts | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
680	Blusa com Zíper Decote	Blusa bicolor com decote V, zíper frontal e manga curta.    -  Bicolor  -  Decote V  -  Zíper frontal	https://www.camellia.com.br/blusa-com-ziper-decote	https://www.camellia.com.br/media/catalog/product/b/l/blusa-com-ziper-decote.jpg	Camellia	new	in stock	188,79 BRL	Blusa bicolor com decote V, zíper frontal e manga curta.    -  Bicolor  -  Decote V  -  Zíper frontal	Todas as categorias > Para Elas | Todas as categorias > Para Elas > Blusas | Todas as categorias > Para Elas > Camisas > Camisetas/T-shirts | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
683	Short Linho IT	Shorts clochard em linho c/ cinto amarração, fivela em acrílico e bolsos laterais.    - Cinto  amarração  - Fivela em acrílico  - Bolsos laterais	https://www.camellia.com.br/short-linho-it	https://www.camellia.com.br/media/catalog/product/s/h/short-linho-it.jpg	Camellia	new	in stock	259,80 BRL	Shorts clochard em linho c/ cinto amarração, fivela em acrílico e bolsos laterais.    - Cinto  amarração  - Fivela em acrílico  - Bolsos laterais	Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport | Todas as categorias > Para Elas > Shorts		
686	Calça Pantacourt Slim Elástico	Calça pantacourt em malha com cós em elástico bordado e bolsos laterais.    - Pantacourt em malha  - Cós em elástico bordado  - Bolsos laterais	https://www.camellia.com.br/calca-pantacourt-slim-elastico	https://www.camellia.com.br/media/catalog/product/c/a/calca-pantacourt-slim-elastico.jpg	Camellia	new	in stock	259,80 BRL	Calça pantacourt em malha com cós em elástico bordado e bolsos laterais.    - Pantacourt em malha  - Cós em elástico bordado  - Bolsos laterais	Todas as categorias > Calças | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport | Todas as categorias > Calças > Pantacourt		
689	Calça Jogger Bicolor	Calça jogging bicolor, cós com elástico embutido e cordão, bolsos laterais.    - Bicolor  - Cós com elástico  - Bolsos laterais	https://www.camellia.com.br/calca-jogger-bicolor	https://www.camellia.com.br/media/catalog/product/c/a/calca-jogger-bicolor.jpg	Camellia	new	in stock	263,78 BRL	Calça jogging bicolor, cós com elástico embutido e cordão, bolsos laterais.    - Bicolor  - Cós com elástico  - Bolsos laterais	Todas as categorias > Calças | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
692	Macacão Pantacourt Slim Elástico	Macacão pantacourt em malha, com detalhe bordado no cós, decote U, manga curta, pequena fenda lateral e bolsos laterais. Fechamento com mini botão atrás. - Pantacourt em malha - Decote U - Bolsos laterais	https://www.camellia.com.br/macacao-pantacourt-slim-elastico	https://www.camellia.com.br/media/catalog/product/m/a/macacao-pantacourt-slim-elastico.jpg	Camellia	new	in stock	299,80 BRL	Macacão pantacourt em malha, com detalhe bordado no cós, decote U, manga curta, pequena fenda lateral e bolsos laterais. Fechamento com mini botão atrás. - Pantacourt em malha - Decote U - Bolsos laterais	Todas as categorias > Para Elas | Todas as categorias > Para Elas > Macacão | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
698	Macacão Degage Malha Laise	Macacão pantacourt em malha laise, decote ombro a ombro com cós, manga 3/4 princess e bolsos laterais. Possui forro.  - Malha laise- Manga 3/4 princess- Possui forro	https://www.camellia.com.br/macacao-degage-malha-laise	https://www.camellia.com.br/media/catalog/product/m/a/macacao-degage-malha-laise.jpg	Camellia	new	in stock	419,80 BRL	Macacão pantacourt em malha laise, decote ombro a ombro com cós, manga 3/4 princess e bolsos laterais. Possui forro.  - Malha laise- Manga 3/4 princess- Possui forro	Todas as categorias > Para Elas > Macacão | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
700	Macacão Manga Japa	Macacão comprido, manga japa com fenda, decote em V, abotoamento atrás (mini botão), bolsos laterais, acompanha cinto em corda e madeira. Possui uma bermuda cor bege em poliéster e elastano com elástico no cós, justa, para usar por baixo.  - Manga japa com fenda- Decote em V- Acompanha cinto em corda e madeira	https://www.camellia.com.br/macacao-manga-japa	https://www.camellia.com.br/media/catalog/product/m/a/macacao-manga-japa.jpg	Camellia	new	in stock	439,80 BRL	Macacão comprido, manga japa com fenda, decote em V, abotoamento atrás (mini botão), bolsos laterais, acompanha cinto em corda e madeira. Possui uma bermuda cor bege em poliéster e elastano com elástico no cós, justa, para usar por baixo.  - Manga japa com fenda- Decote em V- Acompanha cinto em corda e madeira	Todas as categorias > Para Elas > Macacão | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
703	Macacão Manga Japa Azul	Macacão comprido, manga japa com fenda, decote em V, abotoamento atrás (mini botão), bolsos laterais, acompanha cinto em corda e madeira. Possui uma bermuda em poliéster e elastano com elástico no cós, justa, para usar por baixo.  - Manga japa com fenda- Decote em V- Acompanha cinto em corda e madeira	https://www.camellia.com.br/macacao-manga-japa-azul	https://www.camellia.com.br/media/catalog/product/m/a/macacao-manga-japa-azul.jpg	Camellia	new	in stock	439,80 BRL	Macacão comprido, manga japa com fenda, decote em V, abotoamento atrás (mini botão), bolsos laterais, acompanha cinto em corda e madeira. Possui uma bermuda em poliéster e elastano com elástico no cós, justa, para usar por baixo.  - Manga japa com fenda- Decote em V- Acompanha cinto em corda e madeira	Todas as categorias > Para Elas > Macacão | Todas as categorias > Marcas | Todas as categorias > Marcas > D'Laport		
