"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","msrp_enabled","msrp_display_actual_price_type","fit_size","material","ncm","price","special_price","msrp","color","status","visibility","tax_class_id","marca","tamanho","volume_comprimento","volume_altura","volume_largura","posting_days","faixa_etaria","genero","estampa","colecao","ave_size_chart","export_pluggto","description","short_description","custom_layout_update","descricaogoogleshopping","postmethods","special_from_date","special_to_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","website","_media_image","_media_lable","_media_position","_media_is_disabled","ean","weight","googleshopping_category","seller_id","googleshopping_exclude","googleshopping_condition"
"admin","base","Varia Tamanho","configurable","134,140,156,191,195","101BRC","1","Blusa Manga Princess Malha Laise","","Encontre o melhor da moda plus size aqui na Camellia. Blusa Manga Princess Malha Laise dos tamanhos 44 ao 60. Parcelas de até 4x sem juros nos cartões.","/b/l/blusa-manga-princess-malha-laise-2.jpg","/b/l/blusa-manga-princess-malha-laise-2.jpg","/b/l/blusa-manga-princess-malha-laise-4.jpg","blusa-manga-princess-malha-laise","blusa-manga-princess-malha-laise","","Sem atualizações de leiaute","Info Coluna de Produto","Blusa Manga Princess Malha Laise","Blusa Manga Princess Malha Laise","Blusa Manga Princess Malha Laise - Verso","Utilizar configuração","Utilizar configuração","","97% Poliéster 3% Elastano","62044200","159.8000","","","Branco","Habilitado","Catálogo, Busca","Nenhum","D'Laport","","37","9","31","","Adulto","Feminino","Sem Estampa","","","Sim","<p>Blusa manga princess malha laise decote V</p>
<p>- Decote V<br />- Malha Laise<br />- Manga estilo princesa</p>","<p>Blusa manga princess malha laise decote V</p>
<p>- Decote V<br />- Malha Laise<br />- Manga estilo princesa</p>","","Blusa manga princess malha laise decote V

- Decote V
- Malha Laise
- Manga estilo princesa","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Blusa Manga Princess Malha Laise","0","configurable","","","","","","","","","","","","",""
"admin","","","","","101BRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/blusa-manga-princess-malha-laise.jpg","Blusa Manga Princess Malha Laise - Frente","1","0","","","","","",""
"admin","","","","","101BRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/blusa-manga-princess-malha-laise-3.jpg","Blusa Manga Princess Malha Laise - Lado","2","0","","","","","",""
"admin","base","Varia Tamanho","simple","","101BRC48","0","Blusa Manga Princess Malha Laise - 48","","","/b/l/blusa-manga-princess-malha-laise_1.jpg","/b/l/blusa-manga-princess-malha-laise_1.jpg","/b/l/blusa-manga-princess-malha-laise-4_1.jpg","blusa-manga-princess-malha-laise-48","blusa-manga-princess-malha-laise-48","","Sem atualizações de leiaute","Info Coluna de Produto","","","","Utilizar configuração","Utilizar configuração","","97% Poliéster 3% Elastano","62044200","159.8000","","","Branco","Habilitado","Não Exibir Individualmente","Nenhum","D'Laport","48","37","9","31","","Adulto","Feminino","Sem Estampa","","","Sim","<p>Blusa manga princess malha laise decote V</p>
<p>- Decote V<br />- Malha Laise<br />- Manga estilo princesa</p>","<p>Blusa manga princess malha laise decote V</p>
<p>- Decote V<br />- Malha Laise<br />- Manga estilo princesa</p>","","Blusa manga princess malha laise decote V

- Decote V
- Malha Laise
- Manga estilo princesa","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Blusa Manga Princess Malha Laise - 48","0","simple","","","","","","","","7890000465687","1.0000","","","",""
"admin","","","","","101BRC48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/blusa-manga-princess-malha-laise-2_1.jpg","","3","0","","","","","",""
"admin","","","","","101BRC48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/blusa-manga-princess-malha-laise-3_1.jpg","","4","0","","","","","",""
"admin","base","Varia Tamanho","simple","","101BRC46","0","Blusa Manga Princess Malha Laise - 46","","","/b/l/blusa-manga-princess-malha-laise_2.jpg","/b/l/blusa-manga-princess-malha-laise_2.jpg","/b/l/blusa-manga-princess-malha-laise-4_2.jpg","blusa-manga-princess-malha-laise-46","blusa-manga-princess-malha-laise-46","","Sem atualizações de leiaute","Info Coluna de Produto","","","","Utilizar configuração","Utilizar configuração","","97% Poliéster 3% Elastano","62044200","159.8000","","","Branco","Habilitado","Não Exibir Individualmente","Nenhum","D'Laport","46","37","9","31","","Adulto","Feminino","Sem Estampa","","","Sim","<p>Blusa manga princess malha laise decote V</p>
<p>- Decote V<br />- Malha Laise<br />- Manga estilo princesa</p>","<p>Blusa manga princess malha laise decote V</p>
<p>- Decote V<br />- Malha Laise<br />- Manga estilo princesa</p>","","Blusa manga princess malha laise decote V

- Decote V
- Malha Laise
- Manga estilo princesa","","","","","","","1.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Blusa Manga Princess Malha Laise - 46","0","simple","","","","","","","","7890000465670","1.0000","","","",""
"admin","","","","","101BRC46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/blusa-manga-princess-malha-laise-3_2.jpg","","3","0","","","","","",""
"admin","","","","","101BRC46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/l/blusa-manga-princess-malha-laise-2_2.jpg","","4","0","","","","","",""
"admin","base","Varia Tamanho","configurable","134,154,156,191,195","100CRL","1","Camiseta Linho IT","","Encontre o melhor da moda plus size aqui na Camellia. Camiseta Linho IT dos tamanhos 44 ao 60. Parcelas de até 4x sem juros nos cartões.","/c/a/camiseta-linho-it.jpg","/c/a/camiseta-linho-it.jpg","/c/a/camiseta-linho-it-2.jpg","camiseta-linho-it","camiseta-linho-it-677","","Sem atualizações de leiaute","Info Coluna de Produto","Camiseta Linho IT ","Camiseta Linho IT ","Camiseta Linho IT - Verso","Utilizar configuração","Utilizar configuração","","99% Viscose 1% Elastano","62069000","199.8000","","","Coral","Habilitado","Catálogo, Busca","Nenhum","D'Laport","","37","9","31","","Adulto","Feminino","Sem Estampa","","","Sim","<p>Camiseta em linho decote V</p>
<p>- Decote em V<br />- Linho</p>","<p>Camiseta em linho decote V</p>
<p>- Decote em V<br />- Linho</p>","","Camiseta em linho decote V

- Decote em V
- Linho","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Camiseta Linho IT","0","configurable","","","","","","","","","","","","",""
